episode,q_predicted,realized_return,first_action,rank_by_q,rank_by_return
495,3.8748248,11.2316715577998,2,356.0,197.0
99,3.879921,1.6894998340533234,3,357.0,83.0
264,3.8824108,13.471618280264519,2,358.0,352.0
272,3.896764,10.923568093300666,2,359.0,183.0
257,3.901287,8.456648728930652,3,360.0,114.0
418,3.9055867,13.87041902598754,2,361.0,407.0
125,3.9079306,10.408829198652116,2,362.0,156.0
239,3.9243367,13.290008391340718,2,363.0,336.0
165,3.9354599,14.395346799726582,2,364.0,437.0
365,3.939261,10.665177232324472,2,365.0,169.0
355,3.944654,13.17007012656373,2,366.0,325.0
146,3.9448047,7.5232534130315365,2,367.0,110.0
346,3.9495718,14.406755548772722,2,368.0,439.0
433,3.9498265,13.079530962386338,2,369.0,314.0
219,3.951987,12.225826505880137,2,370.0,262.0
24,3.9522622,14.23743908075759,2,371.0,427.0
107,3.9639566,12.664487407550643,2,372.0,292.0
336,3.9659348,14.431333651330208,2,373.0,440.0
64,3.9672256,6.22202207566182,3,374.0,101.0
429,3.978521,14.539172506846617,2,375.0,449.0
287,3.9886672,10.144183053426971,2,376.0,144.0
111,3.9909797,12.602726016896272,2,377.0,285.0
484,4.0018826,6.970808654110001,2,378.0,106.0
207,4.003417,10.845350819092445,2,379.0,177.0
204,4.011724,10.4040410701505,2,380.0,155.0
470,4.0228114,12.647385686346272,2,381.0,289.0
290,4.0300784,-3.562361347097007,3,382.0,57.0
248,4.031375,-4.734206454388739,3,383.0,51.0
18,4.0430884,13.781425981843599,2,384.0,392.0
94,4.0697904,9.587409428130702,3,385.0,124.0
120,4.093434,14.686255113981723,2,386.0,452.0
398,4.1171303,14.720127881961696,2,387.0,454.0
153,4.1617465,11.093879816020593,3,388.0,191.0
443,4.1816716,10.662983043241386,3,389.0,168.0
329,4.186999,-21.02859326346129,3,390.0,7.0
383,4.1990724,10.846417921702233,3,391.0,178.0
40,4.211085,1.5608600881168635,3,392.0,81.0
479,4.2168274,7.254759834080391,3,393.0,107.0
58,4.2259164,2.8032048898211013,3,394.0,90.0
179,4.2379174,2.4474960977118645,3,395.0,89.0
226,4.239226,-14.138867563656103,3,396.0,21.0
483,4.248375,11.74018898379589,3,397.0,229.0
247,4.248655,0.045483462034556776,3,398.0,77.0
317,4.2508216,11.722665015279706,3,399.0,226.0
411,4.251534,2.366193344371003,3,400.0,87.0
91,4.253484,12.484193984835773,3,401.0,277.0
42,4.2553177,12.341367055015127,3,402.0,267.0
252,4.2624173,-0.4828834873246022,3,403.0,74.0
237,4.262445,8.933666074683458,3,404.0,116.0
273,4.262735,-5.59978078655517,3,405.0,47.0
327,4.2659535,8.13239248928552,3,406.0,112.0
214,4.2666526,6.331872146557768,3,407.0,102.0
321,4.2720227,-1.6848897299649792,3,408.0,65.0
375,4.272782,-5.774993893865762,3,409.0,46.0
172,4.278561,-2.563562761862496,3,410.0,62.0
405,4.2871614,-15.152927129032992,3,411.0,17.0
454,4.2882247,-1.398740132030814,3,412.0,68.0
186,4.294506,-2.3918682607341815,3,413.0,63.0
15,4.325039,-14.749101353499576,3,414.0,18.0
246,4.3291507,4.558734461552579,3,415.0,97.0
468,4.3371334,0.4198968215311156,3,416.0,79.0
148,4.3413324,-10.878857775982985,3,417.0,31.0
415,4.3490014,9.371445834601625,3,418.0,117.0
46,4.3565927,-2.9449305277102944,3,419.0,60.0
