well_id,date,lat,lon,actual,pred_v1,pred_v2,kriging
W_16.4278_79.8361,2018-11-04,16.42778,79.83611,4.5,7.950577760446809,7.329946931759294,7.962258815765381
W_16.4278_79.8361,2019-01-04,16.42778,79.83611,3.43,5.252747458701151,5.596581795883734,5.209277629852295
W_16.4278_79.8361,2019-05-04,16.42778,79.83611,4.72,9.34109301872608,8.595409013792557,7.986537456512451
W_16.4278_79.8361,2019-10-31,16.42778,79.83611,3.51,4.219759340910781,4.396190589219395,4.275356769561768
W_16.4278_79.8361,2020-01-09,16.42778,79.83611,3.3,3.6106849472346783,5.08982589504179,2.843797206878662
W_16.4278_79.8361,2020-11-29,16.42778,79.83611,2.6,3.92172346867557,3.87560919380041,3.351253032684326
W_16.4278_79.8361,2021-01-09,16.42778,79.83611,3.13,3.834886234884993,4.167668324789773,3.461743831634521
W_16.4597_79.9194,2016-11-04,16.45972,79.91944,1.36,5.289408389847841,5.359412743550701,4.124519348144531
W_16.4597_79.9194,2019-01-04,16.45972,79.91944,2.57,5.340291371155978,5.082585403203372,5.284285068511963
W_16.4597_79.9194,2019-05-04,16.45972,79.91944,7.6,9.523273478351623,8.783289134589154,9.921765327453612
W_16.4597_79.9194,2019-10-31,16.45972,79.91944,7.66,5.295504170743442,5.976037740068095,4.275356769561768
W_16.4597_79.9194,2020-11-29,16.45972,79.91944,2.58,4.1197115386639425,3.888414182711764,3.009174346923828
W_16.4597_79.9194,2021-01-09,16.45972,79.91944,0.52,3.197084911882176,4.109530311385848,3.036752700805664
W_16.5583_79.3333,2017-01-04,16.55833,79.33333,4.56,7.944492399534464,7.285089757979279,8.352855682373047
W_16.5583_79.3333,2018-11-04,16.55833,79.33333,5.3,7.943753550744154,7.23742367739669,7.962258815765381
W_16.5583_79.3333,2019-01-04,16.55833,79.33333,5.53,7.029353019459248,7.523343948307099,6.8938164710998535
W_16.5583_79.3333,2019-05-04,16.55833,79.33333,5.11,10.18102526227424,9.907806399980169,10.555355072021484
W_16.5583_79.3333,2020-01-09,16.55833,79.33333,3.95,6.319891750343489,5.089147560097614,7.280585765838623
W_16.5583_79.3333,2020-11-29,16.55833,79.33333,1.91,4.050980285814129,3.9394241632164846,4.855164051055908
W_16.3056_80.3739,2016-11-04,16.30556,80.37389,5.21,4.210712354467883,4.902922960775738,4.020803928375244
W_16.3056_80.3739,2017-01-04,16.30556,80.37389,4.69,5.2814346840145205,4.875437712669064,4.402258396148682
W_16.3056_80.3739,2018-11-18,16.30556,80.37389,5.86,7.9422434205636785,7.127120894023206,2.8051645755767822
W_16.3056_80.3739,2018-11-25,16.30556,80.37389,5.91,7.9422434205636785,7.127120894023206,2.8051645755767822
W_16.3056_80.3739,2018-12-04,16.30556,80.37389,5.5,2.774734121463663,3.701649334221624,2.8051645755767822
W_16.3056_80.3739,2018-12-11,16.30556,80.37389,5.06,2.774734121463663,3.701649334221624,2.8051645755767822
W_16.3056_80.3739,2018-12-18,16.30556,80.37389,4.14,4.082809506257232,3.5649928243082947,4.647178649902344
W_16.3056_80.3739,2018-12-25,16.30556,80.37389,4.26,4.082809506257232,3.5649928243082947,4.647178649902344
W_16.3056_80.3739,2019-01-04,16.30556,80.37389,4.64,4.53087473362539,4.432529045181025,4.647178649902344
W_16.3056_80.3739,2019-05-04,16.30556,80.37389,7.51,8.29662779255013,8.077583110269781,5.558228015899658
W_16.3056_80.3739,2019-10-31,16.30556,80.37389,3.44,2.7153588751547817,4.469125252669967,4.275356769561768
W_16.3056_80.3739,2020-01-09,16.30556,80.37389,2.7,3.423007331893479,4.766889236871604,2.476372003555298
W_16.3056_80.3739,2020-11-29,16.30556,80.37389,2.06,4.305387310023699,3.597848701230126,1.7064627408981323
W_16.3056_80.3739,2021-01-09,16.30556,80.37389,2.41,2.3378339677469704,2.7592764535987664,2.213935613632202
W_16.0853_80.1517,2016-08-24,16.08528,80.15167,2.0,3.1660395712776674,3.484790977669329,5.860130310058594
W_16.0853_80.1517,2016-11-04,16.08528,80.15167,1.7,4.633977990598916,4.655306012987444,3.686555147171021
W_16.0853_80.1517,2019-01-04,16.08528,80.15167,3.52,4.065623598911738,4.131251630416163,3.9615206718444815
W_16.0853_80.1517,2019-05-04,16.08528,80.15167,4.0,8.060262294433942,8.004189845740868,8.079612731933594
W_16.0853_80.1517,2019-08-19,16.08528,80.15167,3.68,4.793295150586452,5.297332854424278,4.306209087371826
W_16.0853_80.1517,2019-10-31,16.08528,80.15167,1.97,3.594177878041921,4.428528371859712,4.275356769561768
W_16.0853_80.1517,2020-01-09,16.08528,80.15167,1.98,3.1777495084105425,4.814653399955414,3.208317756652832
W_16.0853_80.1517,2020-11-29,16.08528,80.15167,3.4,4.040890556145808,3.395180754228422,2.373198747634888
