well_id,date,actual,predicted_lstm,predicted_persistence
W_16.0508_75.1878,2019-11-23,5.4,2.5381093,2.68
W_16.0508_75.1878,2020-01-09,8.77,6.918002,5.4
W_16.0508_75.1878,2020-11-29,7.1200004,6.5579405,8.77
W_16.0508_75.1878,2021-01-09,8.7,7.513393,7.12
W_16.0533_79.7483,2017-01-04,6.38,6.480793,6.04
W_16.0533_79.7483,2017-08-24,8.75,6.494708,6.38
W_16.0533_79.7483,2018-08-19,13.139999,8.926762,8.75
W_16.0533_79.7483,2018-11-04,10.84,12.641271,13.14
W_16.0533_79.7483,2019-01-04,9.93,11.285557,10.84
W_16.0533_79.7483,2019-05-04,11.59,10.59435,9.93
W_16.0533_79.7483,2019-08-19,11.41,10.867326,11.59
W_16.0533_79.7483,2019-10-31,7.3399997,10.033497,11.41
W_16.0533_79.7483,2020-01-09,6.6800003,7.9973097,7.34
W_16.0533_79.7483,2020-11-29,4.1099997,5.540849,6.68
W_16.0533_79.7483,2021-01-09,3.3600001,4.5896306,4.11
W_16.0569_80.6975,2016-11-04,1.88,0.9015625,1.8
W_16.0569_80.6975,2017-01-04,2.38,2.6650424,1.88
W_16.0569_80.6975,2017-08-24,2.6200001,1.6676744,2.38
W_16.0569_80.6975,2018-08-19,2.25,2.4046881,2.62
W_16.0569_80.6975,2018-11-04,2.0,2.579181,2.25
W_16.0569_80.6975,2019-01-04,2.2,2.382808,2.0
W_16.0569_80.6975,2019-05-04,3.0900002,3.1854606,2.2
W_16.0569_80.6975,2019-08-19,2.4499998,1.3931397,3.09
W_16.0569_80.6975,2019-10-31,0.82000005,1.8406785,2.45
W_16.0569_80.6975,2020-01-09,1.8599999,1.0145421,0.82
W_16.0569_80.6975,2020-11-29,1.08,0.64972305,1.86
W_16.0569_80.6975,2021-01-09,1.79,1.9236109,1.08
W_16.0606_74.6511,2019-08-06,4.66,14.851707,14.38
W_16.0606_74.6511,2019-11-22,5.2999997,4.796926,4.66
W_16.0606_74.6511,2020-01-09,10.3,7.1805134,5.3
W_16.0606_74.6511,2020-11-29,5.59,9.761819,10.3
W_16.0606_74.6511,2021-01-09,10.35,6.166481,5.59
W_16.0667_76.9917,2016-11-04,1.0500001,1.465656,1.45
W_16.0667_76.9917,2017-01-04,1.02,1.9334105,1.05
W_16.0667_76.9917,2017-08-24,1.27,1.422473,1.02
W_16.0667_76.9917,2018-08-19,0.90999997,0.25507808,1.27
W_16.0667_76.9917,2018-11-04,0.92,1.1124563,0.91
W_16.0667_76.9917,2019-01-04,1.31,1.6835825,0.92
W_16.0667_76.9917,2019-04-30,2.46,3.6783686,1.31
W_16.0667_76.9917,2019-08-18,1.52,0.80967665,2.46
W_16.0667_76.9917,2019-11-29,1.7,-0.6671579,1.52
W_16.0667_76.9917,2020-01-09,1.9100001,2.4935975,1.7
W_16.0667_76.9917,2020-11-29,0.99999994,0.37408876,1.91
W_16.0667_76.9917,2021-01-09,1.15,1.1898282,1.0
W_16.0667_78.8681,2017-01-04,0.79,1.1525354,1.35
W_16.0667_78.8681,2017-08-24,0.87,0.19696635,0.79
W_16.0667_78.8681,2018-08-19,0.9,1.5165068,0.87
W_16.0667_78.8681,2018-11-04,1.0799999,1.1451745,0.9
W_16.0667_78.8681,2019-01-04,1.01,1.5987582,1.08
W_16.0667_78.8681,2019-05-04,1.05,2.3501964,1.01
W_16.0667_78.8681,2019-10-31,0.90999997,-1.585551,1.05
W_16.0667_78.8681,2020-01-09,1.08,1.3587213,0.91
W_16.0667_78.8681,2020-11-29,1.2,-1.6506146,1.08
W_16.0667_78.8681,2021-01-09,1.2700001,1.8485353,1.2
W_16.0764_80.3083,2017-01-04,0.56,1.2464244,0.35
W_16.0764_80.3083,2017-08-24,0.22,0.20569244,0.56
